StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
45779,16,224,226,1,3.5667,3.5667,0.0,3.5667,3.5667,0.0,2.14,0.0,0.0,0.0,0.0,13.0,3.0,3.5667,3.5667,3.5667,3.5667,120,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
45787,16,94,225,1,3.5875,3.5875,0.0,3.5875,3.5875,0.0,5.74,0.0,0.0,0.0,0.0,12.0,12.0,3.425,3.425,3.425,3.425,154,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45792,16,115,226,1,3.81,3.81,0.0,3.81,3.81,0.0,7.62,0.0,0.0,0.0,0.0,10.0,10.0,3.88,3.88,3.88,3.88,84,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45793,16,1,219,1,2.7444,2.7444,0.0,2.7444,2.7444,0.0,4.94,0.0,0.0,0.0,0.0,14.0,9.0,2.3857,2.3857,2.3857,2.3857,206,227,7.0,7.0,2020-2021,2026-02-22T00:16:12.625272
45794,16,1,226,1,3.5,3.5,0.0,3.5,3.5,0.0,1.4,0.0,0.0,0.0,0.0,10.0,5.0,3.0,3.0,3.0,3.0,163,224,2.0,2.0,2020-2021,2026-02-22T00:16:12.625272
45860,16,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
45872,16,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43221,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43250,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43399,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43400,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43401,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43405,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43407,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43410,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43423,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43528,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43532,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43557,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43624,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43626,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43627,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43628,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43632,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43633,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43636,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43638,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43646,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43647,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43648,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43650,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43651,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43652,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43653,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43656,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43663,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43666,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43668,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
43669,16,1,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
