StudentID,AcademicYear,ExtractedAt,AttendanceProgramCodePrimary,ReportingSchoolCode,DaysCompleteIndependentStudy,DaysIncompleteIndependentStudy,DaysInSchoolSuspension,PeriodsExpectedToAttend,PeriodsAttended,PeriodsOutOfSchoolSuspension,PeriodsAttendedInSchoolSuspension,PeriodsExcusedAbsence,PeriodsUnexcusedAbsence,PeriodsCompleteIndependentStudy,PeriodsIncompleteIndependentStudy,SchoolYear,SchoolCode,DaysEnrolled,DaysPresent,DaysAbsence,DaysExcused,DaysUnexcused,DaysTardy,DaysOfTruancy,DaysSuspension
43982,2025-2026,2026-02-22T00:22:29.815209,T,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,19,180,178,2,1,1,1,1,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,19,179,177,2,1,1,0,1,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,19,179,176,3,3,0,33,0,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,19,177,176,1,0,1,24,1,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,19,180,180,0,0,0,0,0,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,19,180,178,2,1,1,30,1,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,19,180,178,2,2,0,26,0,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,180,0,0,0,0,0,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,178,2,0,2,0,4,0
43982,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,108,0,0,0,0,4,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,19,180,177,3,3,0,1,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,19,179,169,10,10,0,0,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,19,179,171,8,8,0,0,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,19,177,177,0,0,0,0,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,10,22,22,0,0,0,0,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,14,180,179,1,0,1,0,1,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,19,180,175,5,5,0,0,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,S,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,12,180,173,7,7,0,2,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,S,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,175,5,5,0,0,0,0
44017,2025-2026,2026-02-22T00:22:29.815209,S,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,172,8,6,2,0,2,0
44017,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,104,4,4,0,0,0,0
44057,2025-2026,2026-02-22T00:22:29.815209,T,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,12,180,172,8,7,1,0,1,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,174,5,1,4,0,4,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,177,2,1,1,2,1,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,176,1,1,0,0,0,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,14,180,176,4,0,4,0,4,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,14,180,177,3,3,0,0,0,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,14,180,178,2,2,0,0,0,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,176,4,2,2,0,2,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,171,9,8,1,0,1,0
44057,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,103,5,5,0,0,0,0
44058,2025-2026,2026-02-22T00:22:29.815209,T,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,12,180,176,4,3,1,0,1,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,178,1,1,0,3,0,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,177,2,2,0,8,0,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,175,2,2,0,0,0,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,14,180,176,4,4,0,0,0,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,14,180,163,17,14,3,0,3,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,14,180,167,13,11,2,6,2,0
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,166,14,11,1,0,1,2
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,170,10,8,1,0,2,1
44058,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,102,6,6,0,0,0,0
44063,2025-2026,2026-02-22T00:22:29.815209,T,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,12,180,173,7,6,1,1,1,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,12,179,171,8,4,4,0,4,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,12,179,179,0,0,0,0,0,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,12,177,177,0,0,0,0,0,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,12,180,179,1,0,1,0,1,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,12,180,180,0,0,0,0,0,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,12,180,174,6,3,3,0,3,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,174,6,4,2,0,2,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,174,6,4,2,0,2,0
44063,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,107,1,1,0,0,0,0
44087,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,170,9,8,1,2,1,0
